airline,status,city,flights
Alaska,On Time,Los Angeles,497
Alaska,Delayed,Los Angeles,62
Alaska,On Time,Phoenix,221
Alaska,Delayed,Phoenix,12
Alaska,On Time,San Diego,212
Alaska,Delayed,San Diego,20
Alaska,On Time,San Francisco,503
Alaska,Delayed,San Francisco,102
Alaska,On Time,Seattle,1841
Alaska,Delayed,Seattle,305
AM West,On Time,Los Angeles,694
AM West,Delayed,Los Angeles,117
AM West,On Time,Phoenix,4840
AM West,Delayed,Phoenix,415
AM West,On Time,San Diego,383
AM West,Delayed,San Diego,65
AM West,On Time,San Francisco,320
AM West,Delayed,San Francisco,129
AM West,On Time,Seattle,201
AM West,Delayed,Seattle,61